67,0,0,8,0,1,0,0,9,3,2,0
0,2039,43,6,2,33,1,4,1,15,4,0
0,45,1159,0,3,28,0,3,11,19,4,0
6,13,0,98,1,6,2,2,3,5,1,0
3,9,8,0,88,7,0,0,0,0,2,0
9,65,25,10,3,1192,0,1,59,45,12,0
0,0,0,2,0,1,61,19,0,0,0,1
0,3,2,1,0,0,16,883,0,9,0,0
6,5,10,2,0,51,1,2,1060,14,15,0
7,28,30,8,2,35,7,14,23,52,21,0
0,3,0,0,0,1,1,0,20,14,1370,0
0,0,0,3,2,0,3,0,0,1,0,91
